agricultrendspricechangeregression.country,agricultrendspricechangeregression.crop,agricultrendspricechangeregression.coefficient,agricultrendspricechangeregression.intercept
Austria,Cherries,7.951841450388116E-7,7.859683831257186E-5
New Zealand,Raspberries,2.588321925271519E-5,3.660756464712076E-4
Myanmar,Tobacco unmanufactured,3.530009822173849E-5,6.090234050297907E-4
Burkina Faso,Okra,2.08628538045548E-6,7.452028067057555E-5
Mexico,Papayas,3.773826725120869E-6,2.0851591841881807E-4
Georgia,Soybeans,1.6318247833227653E-5,2.803220282411466E-4
Viet Nam,Coffee green,-4.668600252023385E-7,7.018661688312358E-5
Kyrgyzstan,Maize,-2.679875562992771E-7,1.251626852953118E-5
Guyana,Plantains and others,-1.1201344029883488E-4,3.2747170529923364E-4
Bulgaria,Vetches,2.14356185624895E-5,2.9454193847322654E-4
Mauritius,Onions dry,6.685494311131817E-6,2.0140668971382783E-4
Bolivia (Plurinational State of),Cauliflowers and broccoli,3.512403352337524E-7,1.093857252879703E-5
United States of America,Walnuts with shell,8.069514752902323E-6,1.5901819194872411E-4
Germany,Cherries,1.1480516666146586E-5,5.773168349467887E-5
South Africa,Wheat,9.702396073899975E-6,2.3559325548083793E-4
Israel,Apricots,-3.3948537565847136E-5,9.766162851020694E-4
Trinidad and Tobago,Oranges,-2.3211950202785295E-6,3.0419675699879396E-4
Brazil,Sorghum,1.597465069655148E-5,2.1457487152889182E-4
Kenya,Onions dry,2.4396817718651595E-5,2.1914665681883628E-4
Finland,Sugar beet,-6.70900272561255E-6,5.334547661385282E-6
Greece,Broad beans horse beans dry,-1.7121038371855875E-5,2.2540759325640058E-4
Oman,Wheat,0.0,0.0
Colombia,Oats,2.400425432015786E-6,1.1377871263740023E-4
C�te d'Ivoire,Tobacco unmanufactured,-2.475358129504233E-5,1.308016702175639E-4
Italy,Chick peas,-2.5865416210707313E-6,9.693989080008124E-5
Argentina,Peaches and nectarines,3.3840598995448404E-5,3.5468568708366333E-4
Chile,Hemp tow waste,1.2913707820978877E-5,4.269129921663007E-5
Dominican Republic,Vegetables fresh nes,-4.2679986661263626E-5,4.46324347988342E-4
Cyprus,Cauliflowers and broccoli,1.238033493681711E-5,4.105885953565919E-4
Greece,Cherries,1.1449010406424559E-5,1.1330461455955079E-4
Israel,Sesame seed,1.2792650820277716E-4,7.491215963391543E-4
Hungary,Hemp tow waste,3.357923366686899E-5,5.443866548288897E-4
Australia,Oranges,-1.1143866821195573E-5,1.2598801762933812E-4
Belize,Fruit fresh nes,1.6796705787963402E-5,1.992736964999929E-4
Bosnia and Herzegovina,Grapes,-5.739374334654681E-6,1.0381180786444757E-4
Iran (Islamic Republic of),Linseed,7.1788337134921714E-6,1.9876733023107944E-4
Nicaragua,Fruit fresh nes,2.5458093084807557E-6,1.6934255660899163E-5
Syrian Arab Republic,Lupins,-1.7269774734054586E-5,6.809290248869185E-5
Madagascar,Tea,9.11946482132873E-6,1.294096785420868E-4
Jordan,Wheat,-1.2847223820207874E-5,6.121874199785263E-5
Romania,Flax fibre and tow,3.5570324397062036E-6,1.4318081557753795E-4
Barbados,Avocados,1.4894782319915982E-6,-2.099701711646324E-5
Argentina,Sorghum,1.4863355082060523E-4,9.290424597519292E-4
Kenya,Coffee green,-8.374487626077339E-5,2.7440203795873726E-4
Qatar,Wheat,-3.4656851706439757E-7,4.5870739748219094E-5
Italy,Pears,-9.614621012350965E-6,2.805178603219151E-4
C�te d'Ivoire,Beans green,-2.247450388935817E-5,1.1512839321520123E-4
Zimbabwe,Cassava,-5.182594145522005E-6,6.810300476801832E-5
Morocco,Eggplants aubergines,5.775186594180257E-6,1.6078564909784642E-4
Saint Vincent and the Grenadines,Plantains and others,2.4085678095969123E-6,3.4453436832589454E-4
Bulgaria,Chick peas,2.5619548847460308E-5,4.309960824242934E-4
Turkey,Watermelons,-1.461868238733744E-5,1.5749987878838862E-4
Cyprus,Wheat,1.824784547854048E-5,2.265303854385549E-4
Australia,Asparagus,-5.492079590080427E-5,1.63910322017582E-5
Syrian Arab Republic,Quinces,-3.534378723870328E-5,2.2119332098416333E-4
Republic of Korea,Ginger,-1.29985078780994E-4,2.0444587637868703E-4
Jamaica,Yams,5.4655974714855985E-5,1.8307599946859563E-4
Kenya,Vegetables fresh nes,2.6455528517558045E-4,8.313389731198342E-4
Venezuela (Bolivarian Republic of),Vegetables fresh nes,2.708217233183206E-6,1.392771960277614E-4
Hungary,Gooseberries,-4.9906928605461676E-5,2.968861473587104E-4
Finland,Potatoes,-1.44341976083867E-5,1.317352976709776E-4
Botswana,Sunflower seed,2.0199600329849367E-5,1.0640850213737046E-4
Italy,Carobs,2.4876206288810624E-7,8.350619927580156E-5
Morocco,Walnuts with shell,-1.7405390313607118E-7,8.992389765176566E-6
Burundi,Cassava,6.5679889748300996E-6,1.5053390682779374E-4
Nepal,Lentils,3.345809478822414E-6,2.2602666390368918E-4
Nepal,Apricots,-4.9027140051301885E-6,1.4872215629258546E-5
Brazil,Rice paddy,-1.7725119531577863E-5,3.340984374668746E-4
Spain,Millet,-9.99909799681922E-6,1.1412195717975368E-4
Canada,Peas green,6.0635258959461986E-6,9.305096646227021E-5
Philippines,Cassava,-2.4782725606895353E-5,5.303395030734388E-4
South Africa,Avocados,-2.2052917677645863E-5,2.2830233507786457E-4
Greece,Groundnuts with shell,1.8874729216529167E-5,4.4776952808323696E-4
Colombia,Vegetables leguminous nes,-1.4133826216603365E-5,1.3613707252836356E-5
Bolivia (Plurinational State of),Chick peas,7.962307722846052E-5,5.761090876445725E-4
Sweden,Pears,-2.950560970096624E-7,3.039395063819964E-6
Syrian Arab Republic,Cucumbers and gherkins,6.4197232810064465E-6,4.229130044305919E-5
El Salvador,Cashew nuts with shell,-6.521326139194678E-5,2.4823619498575762E-5
C�te d'Ivoire,Coffee green,-3.2026321526542845E-5,1.7463122478627877E-4
Argentina,Sugar cane,-2.9616196769585942E-5,6.902145595270621E-4
Argentina,Apricots,1.9720993474720515E-4,3.821285869437643E-4
Belgium,Hops,-4.015074053784101E-6,6.310320660609623E-6
Zimbabwe,Groundnuts with shell,1.61355732255381E-4,3.351689720302137E-4
Saint Vincent and the Grenadines,Cassava,2.484076414106464E-6,1.1951502998541901E-5
Ghana,Coconuts,7.088574024476972E-5,5.455032850329309E-4
United States of America,Cranberries,-4.001975803448464E-6,4.387614436066924E-5
Bulgaria,Cherries sour,5.545340515736948E-5,1.503596685847758E-4
China,Ramie,6.885113020496692E-5,1.1152947178439753E-4
India,Bastfibres other,-6.078583048825109E-7,2.1179893906681175E-4
Denmark,Potatoes,-7.562590883336777E-5,2.654438169301678E-4
Costa Rica,Potatoes,-7.737671997258337E-5,0.0014480942305802606
Australia,Oats,-9.480083714337154E-5,5.526056135668842E-4
Iran (Islamic Republic of),Grapefruit inc. pomelos,1.3902094319528845E-4,1.2556646201537455E-4
Ghana,Plantains and others,1.9017202501558397E-5,5.594423395127496E-4
Ethiopia,Vetches,3.509331911904948E-5,1.847783172064403E-4
Greece,Apricots,-8.389167016200881E-5,3.2916779927232877E-4
Chad,Vegetables fresh nes,-1.4063462754884105E-5,2.271987037766871E-5
Kenya,Plums and sloes,-8.68512392791662E-9,-1.0621906563842027E-5
Ecuador,Grapefruit inc. pomelos,-4.4060426930772705E-5,3.0060009250290794E-4
Israel,Sugar beet,2.0214553613263294E-6,1.6177706930759663E-4
Iran (Islamic Republic of),Vegetables fresh nes,1.6472788271463736E-5,1.9783543182987477E-4
Chad,Sesame seed,-2.115551716304125E-6,2.3329787413346833E-5
Zimbabwe,Sugar cane,-1.8869108256935456E-6,9.831418868496507E-5
Colombia,Fruit fresh nes,1.8065615644956158E-6,2.5491329614525524E-5
Viet Nam,Bananas,6.828171148308488E-5,2.2369808993103006E-5
United Kingdom of Great Britain and Northern Ireland,Triticale,-5.131846520447737E-8,2.27655539974175E-5
Poland,Grain mixed,-1.1387343178957062E-5,1.0918190064374861E-4
United States of America,Sorghum,3.5018534357860595E-5,1.7397425357190728E-4
Bulgaria,Tobacco unmanufactured,-6.725888541991325E-6,8.898211751467473E-5
Colombia,Potatoes,1.2471794275228679E-5,8.444074444735475E-4
Ukraine,Mustard seed,-6.7631635279109325E-6,-3.0472410128346258E-5
Mexico,Wheat,-7.207570046054542E-5,3.7848823331696174E-4
Serbia,Rye,-1.4540564073869451E-6,-2.0075376132641593E-6
Latvia,Plums and sloes,-9.40628142073171E-5,1.3043443848835784E-4
Bulgaria,Rice paddy,1.0988115809658227E-5,4.0592880143572953E-4
Georgia,Sugar beet,2.0356916934751085E-6,6.379775623493773E-6
North Macedonia,Beans green,6.482908300430455E-5,3.699180637552685E-4
Peru,Peas dry,-2.996786823680164E-5,2.258825307722353E-4
Sierra Leone,Tobacco unmanufactured,2.1978398277964707E-6,1.7582718622371766E-5
Israel,Fruit fresh nes,6.670574630263318E-7,2.1368236633284625E-5
Estonia,Wheat,4.5257893262728146E-5,9.864475227672302E-5
Peru,Linseed,1.1094470687374558E-5,3.946742421732679E-5
Morocco,Peaches and nectarines,2.2251695350600288E-5,7.569693366250068E-5
Mexico,Persimmons,-1.00706662087698E-5,1.2097495617453733E-4
Austria,Oats,5.084139786856741E-7,5.9816115043067776E-5
Republic of Korea,Leeks other alliaceous vegetables,-3.673732926675911E-5,3.565419747220401E-4
Italy,Tangerines mandarins clementines satsumas,2.4484630558783273E-6,1.2668569027294785E-4
Ghana,Rubber natural,9.423281836184974E-5,6.02367579884703E-4
Brazil,Sunflower seed,2.453734553047796E-5,1.6969090229742312E-4
Kazakhstan,Sunflower seed,1.6973320409904942E-5,1.826115876281519E-4
Thailand,Sesame seed,-2.6017382779859945E-6,1.469921998446243E-4
Tunisia,Olives,-3.3617717593223374E-6,3.9312305225520553E-4
Latvia,Carrots and turnips,3.151811999775133E-5,4.119127748287069E-5
Bosnia and Herzegovina,Cherries,-1.0377286951840208E-5,1.2924663132962312E-4
Bhutan,Maize,3.658654273006991E-5,6.542425300799382E-5
Venezuela (Bolivarian Republic of),Oranges,3.431557267150165E-5,7.026118859962989E-4
India,Lentils,2.611202484446877E-5,1.8661637631489083E-4
Albania,Pumpkins squash and gourds,8.009745004522369E-6,1.4948856682192394E-5
Dominican Republic,Garlic,3.4360473158106354E-5,3.499321097161431E-4
Oman,Cabbages and other brassicas,2.0262279659940928E-8,1.8926761550747407E-7
Netherlands,Vegetables fresh nes,5.1591854116408865E-6,8.409957456530348E-5
Italy,Raspberries,1.7890925366089446E-5,6.017410910364195E-4
Mexico,Roots and tubers nes,1.3594112763538744E-4,5.498614879042874E-4
Turkmenistan,Potatoes,2.5331836066115745E-4,1.681136468588332E-4
United States of America,Vegetables fresh nes,-5.329074578204961E-6,9.416708478415628E-5
Chile,Sweet potatoes,-2.810029815743208E-5,2.503123371578363E-4
Indonesia,Beans dry,-2.8026113700794682E-6,6.0076055471710117E-5
Chad,Millet,-5.186662237405537E-7,1.0925594276260883E-4
Greece,Melons other inc.cantaloupes,1.5088197539197984E-6,3.3354203688336034E-4
Ghana,Chillies and peppers green,5.390581167523652E-6,6.202479778955242E-4
Latvia,Strawberries,2.210347977558474E-6,4.449736524411279E-5
Israel,Avocados,9.67799638656301E-5,9.402768099192462E-4
Japan,Peas dry,-3.1543745426341705E-5,1.154542009594952E-4
Greece,Potatoes,2.0854007449956014E-6,9.228984936289178E-5
Ukraine,Plums and sloes,-2.3528058238896224E-6,2.0074002259824565E-4
Uruguay,Apples,-4.925156295277688E-5,5.632640559515574E-4
Romania,Linseed,1.2577203107576429E-5,2.773880324176843E-5
Philippines,String beans,1.1688733643637432E-4,3.844320447011291E-4
Greece,Artichokes,-3.1001460773729607E-5,3.138612081273793E-4
Thailand,Kapok fruit,2.878279933997833E-7,3.383277426598976E-5
Belgium,Cauliflowers and broccoli,-1.5499623275436666E-6,4.645344891721394E-5
Israel,Tomatoes,2.839101971103986E-6,7.390816734269279E-4
Morocco,Roots and tubers nes,4.658663518704844E-8,-1.910052042668986E-6
Russian Federation,Soybeans,-1.9590967526624702E-5,1.2838879198034866E-4
Sri Lanka,Cocoa beans,-3.271602302925518E-5,2.0318349458588053E-4
Georgia,Pears,1.1415299929750585E-6,1.3110736073811667E-5
Cabo Verde,Lettuce and chicory,2.40067819115807E-6,9.717391803604438E-6
Mexico,Triticale,-0.0018509176915330878,4.91588712242026E-5
China,Fruit fresh nes,-2.475873217522638E-6,3.4087521846836553E-7
United States of America,Rye,-4.542345654326481E-5,1.5418133801686185E-4
Italy,Eggplants aubergines,-4.1879587534390385E-5,2.6529374048113664E-4
Indonesia,Sweet potatoes,-5.086060239904834E-5,7.123586584894339E-4
Cuba,Potatoes,-2.3280507151867713E-5,8.011088614957801E-5
Ukraine,Blueberries,4.846772578741861E-5,1.4843915112553967E-4
Iraq,Plums and sloes,6.662629895677983E-6,5.945385376053648E-5
Venezuela (Bolivarian Republic of),Tomatoes,1.5346939404385523E-5,6.840903152614547E-4
Israel,Mangoes mangosteens guavas,2.3649572395414254E-4,7.838552827965593E-4
Tunisia,Fruit tropical fresh nes,1.1960254835800254E-5,2.4213813094542267E-4
Switzerland,Apples,-3.553675825479849E-5,2.9958895566383956E-4
Nepal,Coconuts,0.0,0.0
United Kingdom of Great Britain and Northern Ireland,Berries nes,1.3217704563976838E-6,3.180409895008602E-4
Algeria,Olives,1.9589977625331873E-5,1.2956103726823718E-4
Brunei Darussalam,Watermelons,-2.212812705563726E-7,-1.864597929130768E-5
Morocco,Fruit citrus nes,1.2729744593852445E-6,8.195407335485156E-6
Azerbaijan,Apricots,-1.540063520958984E-5,8.838053854639273E-5
Japan,Mangoes mangosteens guavas,2.316145050248419E-5,1.9325225989910244E-4
Tunisia,Apricots,-1.3003865622585097E-5,3.526109018882049E-4
Nicaragua,Oil palm fruit,-3.425857202967649E-6,4.747129905093736E-4
Senegal,Fonio,1.6309521746020343E-5,1.4389778562229599E-4
India,Coconuts,2.6007122203993966E-6,1.407843265235037E-4
Togo,Yams,1.8973767191740606E-5,8.456006957447624E-5
Greece,Onions shallots green,3.5726666078561163E-4,3.551399632256162E-4
Egypt,Sugar cane,2.85589932279062E-6,2.8119346373603043E-4
United States of America,Blueberries,-2.863775015417228E-6,1.0048467026649047E-4
Peru,Cherries,-3.819254233743412E-5,6.052478676198734E-5
Greece,Beans green,-2.7909521168125163E-6,3.1740063381622375E-4
China,Peas green,-3.5260701270005135E-6,8.153216984520336E-5
Bangladesh,Jute,3.082050902443609E-5,2.096936254126846E-4
Brazil,Garlic,6.88825325591067E-5,4.095680104869562E-4
Togo,Maize,2.5011389311196205E-6,2.3637971946904927E-4
Italy,Vetches,-6.011564983624848E-6,6.188687060885298E-5
Seychelles,Pineapples,-1.1199133046725444E-5,4.732667162671454E-5
Fiji,Tomatoes,-2.2225940744024437E-4,2.4250505856135266E-5
Honduras,Fruit fresh nes,2.065353238523982E-6,5.97043548908837E-6
Qatar,Eggplants aubergines,-8.962637956955947E-8,-9.934699552259024E-6
Israel,Beans green,-6.720267358337706E-5,9.461600003390278E-4
Gambia,Sesame seed,3.7853533101504E-7,1.7034089895676796E-5
Republic of Korea,Pears,3.285343319289442E-6,2.7952200485616683E-4
France,Olives,3.2861625553464994E-5,2.865984928031821E-4
Spain,Beans dry,-7.845792798052254E-6,1.7276568495586578E-4
Mexico,Mangoes mangosteens guavas,-7.759812728969484E-6,8.909060282846843E-5
North Macedonia,Cherries sour,-1.765128625242317E-5,8.91479452408458E-4
Ecuador,Lemons and limes,-2.902798042213394E-5,3.7116060075927343E-4
Madagascar,Cinnamon cannella,4.422954320114519E-6,1.7241309868468892E-4
Turkmenistan,Cabbages and other brassicas,-7.709865064039395E-6,1.5948904231537732E-4
Peru,Vegetables fresh nes,-1.0663193543819397E-5,1.9256477140694393E-5
Namibia,Fruit fresh nes,3.379943676127819E-6,1.6013711832916897E-4
Zimbabwe,Tangerines mandarins clementines satsumas,2.491080248732853E-6,1.4656668913933462E-4
Zimbabwe,Tomatoes,1.561979366177411E-5,4.068186271449566E-4
Bolivia (Plurinational State of),Apples,2.6665424285489853E-4,5.61941577746879E-4
Slovakia,Spinach,1.5089501651552914E-4,3.198728835164354E-4
Colombia,Barley,1.599390913290319E-5,3.914511607125021E-4
Cyprus,Almonds with shell,3.4483109546913917E-6,4.07444469454567E-4
United States of America,Cabbages and other brassicas,1.0250947506805763E-5,1.222651332800877E-4
Austria,Grain mixed,8.272319623216686E-6,2.0375987092093669E-4
Turkey,Peas green,3.834973864333741E-6,6.497862541894916E-4
Colombia,Lentils,1.4605971288116526E-6,2.257407294840658E-4
Australia,Kiwi fruit,1.4322874222734876E-6,2.6258460831867043E-5
New Zealand,Oats,1.7841600188571888E-5,1.4703626926407785E-4
Italy,Peas dry,7.336099291302963E-5,1.1632169670263267E-5
Denmark,Poppy seed,2.4270773541248955E-5,5.915474618970333E-5
Thailand,Taro cocoyam,4.1239554926540125E-6,1.254707191198847E-4
Latvia,Beans dry,4.318284217812988E-4,3.5929251608107934E-4
Bulgaria,Beans dry,5.278001784375293E-5,4.513704359630486E-4
Trinidad and Tobago,Coffee green,5.53797004790612E-7,1.4606340668691888E-4
Argentina,Bananas,-1.8421911055383947E-4,0.001202717358887364
Slovakia,Gooseberries,2.745567879777547E-5,5.112503110216715E-5
Syrian Arab Republic,Beans dry,3.899979499730734E-6,2.0220394200156633E-4
Kenya,Carrots and turnips,-3.3529031026689664E-5,2.568773085451713E-4
Saint Vincent and the Grenadines,Pumpkins squash and gourds,-6.251270339258351E-8,-1.020420432583813E-5
Philippines,Garlic,-8.303580843732299E-5,4.1479426306227694E-4
North Macedonia,Strawberries,-1.215183464785263E-5,5.133817426174512E-5
Malta,Tangerines mandarins clementines satsumas,-1.721852477685546E-5,2.3807380839007327E-4
C�te d'Ivoire,Vegetables fresh nes,-9.54400943567641E-6,1.0879811057970034E-4
Argentina,Artichokes,-1.654454399324793E-4,2.5924126443227854E-4
China,Safflower seed,3.534252714861952E-7,1.1001046584151096E-5
Poland,Vegetables fresh nes,2.8154318982066244E-6,2.4262573437228195E-4
Barbados,Fruit tropical fresh nes,-9.63933315570143E-7,1.6410351509277815E-5
Thailand,Nuts nes,8.055041261845126E-7,4.411251124711727E-5
Russian Federation,Berries nes,1.5831873711539368E-6,1.0373862402334515E-4
Pakistan,Walnuts with shell,2.639332611881921E-6,2.954851398506637E-4
Jordan,Onions dry,-1.2849760451489185E-4,4.4261091011750785E-4
Lao People's Democratic Republic,Melons other inc.cantaloupes,-1.9700945170411026E-6,-6.696430188095757E-6
Jamaica,Watermelons,1.812267335401974E-5,2.451665678402915E-4
Russian Federation,Pulses nes,1.3879980943605808E-4,3.5679875584987295E-4
Burkina Faso,Karite nuts sheanuts,1.3570242896003324E-5,6.336694839954197E-5
Egypt,Sesame seed,2.3159152204338068E-5,2.7069109353969806E-4
Iraq,Figs,2.655750841117411E-7,7.325048402700026E-5
Viet Nam,Cassava,-6.113847576508376E-8,1.3599690267620978E-4
Bangladesh,Oranges,-4.020187416792231E-6,2.6910786731840084E-4
Jordan,Cauliflowers and broccoli,1.1081646765531267E-4,2.4137438216501983E-4
Syrian Arab Republic,Tangerines mandarins clementines satsumas,1.0159014891151195E-6,1.0689758297323517E-5
Morocco,Olives,-4.339875585089172E-5,1.8518648864862948E-4
Austria,Cauliflowers and broccoli,3.6918725271214554E-6,1.1931096224910177E-5
Uruguay,Lemons and limes,2.8674928713951067E-6,3.524521042843696E-5
Zimbabwe,Cabbages and other brassicas,-6.813989061897694E-5,4.6965595682998875E-4
Burundi,Maize,7.908929280740597E-6,3.720051927231895E-4
Ghana,Cocoa beans,3.845182465012236E-5,7.687610648278433E-4
Mozambique,Sunflower seed,2.6911300432422074E-5,3.1895680510938033E-4
Iran (Islamic Republic of),Seed cotton,-5.171158981772129E-7,9.621960739336435E-5
Algeria,Oats,1.1470450267146589E-4,2.5096184664943086E-4
Italy,Sugar beet,7.973438070478494E-5,8.55815684586592E-5
Mexico,Anise badian fennel coriander,8.7377205465713E-5,4.2831322871140235E-4
Bangladesh,Fruit fresh nes,-3.982252683685598E-6,2.3598654123310923E-4
Republic of Korea,Beans dry,-7.055882825516138E-6,6.479830620651191E-5
Rwanda,Pyrethrum dried,-2.5887474128714588E-6,1.06145849796493E-4
Germany,Cabbages and other brassicas,5.317954204618528E-8,-7.256059191445457E-6
Iran (Islamic Republic of),Sugar cane,1.2023306245582777E-5,1.8135212439805996E-4
Denmark,Rye,-1.7983731406981757E-5,1.5309143682515412E-4
Canada,Fibre crops nes,7.367240959730904E-5,1.077379477103312E-4
Tunisia,Watermelons,3.523644972290129E-6,9.853223821252666E-5
Ecuador,Broad beans horse beans dry,1.4083315438864316E-5,3.110147411470017E-4
Czechia,Sugar beet,9.962975922661101E-6,8.03825824435989E-6
Burkina Faso,Chillies and peppers green,9.601019109981254E-5,6.310583368172977E-4
Belize,Maize,1.919526901787971E-6,2.9686689604308153E-5
Republic of Korea,Onions shallots green,-1.6891005295819347E-5,4.4042234250140933E-4
Sweden,Rapeseed,-2.3997513769897723E-5,2.7015589415905567E-5
Jamaica,Peas dry,5.651413638473665E-5,4.0993899914729186E-4
Croatia,Chillies and peppers green,-7.171551223602161E-6,4.2942381690761005E-5
Thailand,Onions shallots green,2.7094922988389504E-6,3.814621828218806E-5
Austria,Apples,-5.586235140641675E-6,3.749964959217166E-5
Portugal,Tobacco unmanufactured,-1.3013609327931165E-5,5.9988417266701086E-5
Croatia,Almonds with shell,-3.821991823088045E-6,5.572713389795487E-5
Venezuela (Bolivarian Republic of),Pineapples,-6.007607591566693E-5,3.095217457394701E-4
Austria,Apricots,-3.852059460977044E-5,1.5944156860427423E-4
Slovakia,Cucumbers and gherkins,1.0286221860437709E-7,2.546678771401048E-5
Zimbabwe,Lettuce and chicory,-7.964058456315287E-6,1.8718744791812187E-4
India,Anise badian fennel coriander,1.4221853038977217E-4,4.030521913273037E-4
Algeria,Vetches,-2.6638364225992402E-5,1.0582213823369964E-4
Niger,Seed cotton,-1.564751974798511E-5,1.5054720755686707E-4
Georgia,Carrots and turnips,-1.0867456929406437E-5,3.347118111424906E-5
Brazil,Walnuts with shell,1.5715293863118432E-6,7.54265450719835E-5
Argentina,Mangoes mangosteens guavas,1.8553052443314182E-4,3.554562517564602E-4
Chile,Pears,-5.255432111336338E-5,1.2339637273184984E-4
Angola,Pineapples,2.96519403866564E-6,1.2439270843148396E-4
Bulgaria,Pumpkins squash and gourds,-2.3356579873979066E-5,1.1812406016272152E-4
Paraguay,Rice paddy,2.517299449111072E-6,2.6768466920655765E-4
Jordan,Broad beans horse beans dry,2.5678621070778625E-5,1.6192176189726108E-4
France,Hempseed,2.687637323640986E-5,5.907517675039947E-5
Greece,Onions dry,-1.751503928065553E-5,3.216761622568872E-4
Netherlands,Cauliflowers and broccoli,-5.416975795593268E-5,5.389784708161837E-4
Turkey,Garlic,-8.824353932676848E-6,0.0015873632296356792
Spain,Sunflower seed,-2.7655631409608435E-5,2.060462843510171E-4
Burundi,Fruit fresh nes,3.6636133275898815E-6,2.520406535249718E-4
Bangladesh,Linseed,-3.4279414411965344E-5,3.4636097417506514E-4
C�te d'Ivoire,Fonio,1.4397787081579822E-5,1.8386453596347827E-4
Tunisia,Fruit fresh nes,1.0908268145852037E-6,2.7744808299435584E-5
Ethiopia,Yams,-6.288460851825208E-7,-8.695581971441121E-6
Ethiopia,Onions shallots green,-1.7498692086211562E-7,2.156116714916681E-6
Argentina,Groundnuts with shell,-1.642132011498544E-5,7.279699652750236E-4
Lebanon,Oats,8.712805962585293E-6,3.2630983126084157E-4
Greece,Peas dry,2.6229258927217065E-5,2.37236257330445E-4
Peru,Seed cotton,-2.464520478133167E-5,5.673919035515184E-4
Oman,Lemons and limes,9.149260706058704E-10,-3.650162108680966E-8
United Kingdom of Great Britain and Northern Ireland,Sugar beet,-1.3872280883546887E-5,9.168231371690995E-5
Canada,Pears,-5.068461831700034E-5,1.474518180920701E-4
Iceland,Carrots and turnips,-1.0086039001251625E-4,3.746780171593363E-4
Chile,Pumpkins squash and gourds,-2.0411347757234076E-5,7.132069205369666E-4
Cyprus,Pears,1.1358700857386024E-5,2.954942007492678E-4
Italy,Linseed,-2.300118356690757E-7,1.4788542557236394E-4
Australia,Sunflower seed,-8.947747601543652E-5,1.2351854333751978E-4
Benin,Sorghum,-4.188979378986783E-7,6.376729456066572E-6
Finland,Apples,9.054872218892703E-6,1.5682006857063924E-4
New Zealand,Cereals nes,-1.3701961473766098E-7,1.044710692250194E-4
Bulgaria,Spinach,-3.50430028788003E-6,1.1969856059381756E-4
Georgia,Walnuts with shell,3.889123742230348E-5,1.743186662318801E-4
Argentina,Peas dry,1.8346869886566776E-4,0.0010581022760226334
Mauritius,Cassava,2.525803811579933E-5,3.499736529783348E-4
Israel,Potatoes,1.1321319973460382E-5,8.577559178117998E-4
Yemen,Fruit fresh nes,-1.3170057335527643E-5,8.863651870990777E-5
Jamaica,Cabbages and other brassicas,5.4694204107632036E-5,4.156925991003345E-4
Bangladesh,Pineapples,-5.0179334660682314E-8,1.9465119834314744E-4
India,Maize,-3.272064010365333E-7,1.9668891225552469E-4
France,Hops,-6.09999124927698E-6,9.196685760158821E-5
Gambia,Vegetables fresh nes,2.3661323309729193E-6,1.2684112140963009E-4
Afghanistan,Almonds with shell,1.3938484892035629E-4,7.097410805085983E-5
Saint Lucia,Roots and tubers nes,-6.760669311891167E-6,3.179770091179181E-5
Bosnia and Herzegovina,Lemons and limes,-1.6311465561072817E-5,3.930168642263211E-5
Brunei Darussalam,Lettuce and chicory,2.1679652101359853E-5,1.2361518857866347E-4
Zimbabwe,Wheat,2.0229469048485687E-6,-4.369241268875161E-5
Slovenia,Maize,-5.864729927670303E-6,6.309502870546044E-5
Germany,Lettuce and chicory,-6.927568083129882E-6,1.1027736667620355E-4
Israel,Tobacco unmanufactured,-1.7331149075692085E-5,9.227615540344445E-4
Benin,Potatoes,7.887342887890132E-7,-4.538942605295266E-6
Ethiopia,Pepper piper spp.,1.4074422278599134E-5,2.955628678505818E-5
India,Tea,2.8919235595942222E-6,1.0928667008068644E-4
Cabo Verde,Watermelons,8.031305949377522E-9,-3.18744179718182E-6
Japan,Taro cocoyam,4.332598009130646E-6,1.0687934363179941E-5
Panama,Yams,-7.014620466319314E-8,2.7259463276854526E-5
Bosnia and Herzegovina,Apples,4.372801008754832E-5,8.868232781130213E-5
France,Watermelons,5.282712789195749E-5,6.940492846704457E-4
Greece,Sugar beet,1.0338744732743154E-4,1.1402200380973225E-4
France,Grapes,-7.511232966669408E-6,5.539974125045269E-5
Spain,Tomatoes,6.801175475787291E-6,1.5319360842414116E-5
Algeria,Fruit fresh nes,-3.454618813040711E-5,7.308435351838998E-4
Portugal,Watermelons,-5.351869094553123E-6,1.0105508808101652E-4
Greece,Rye,1.002010152644545E-4,6.695201850383292E-4
Cyprus,Beans dry,-1.6093543002966352E-6,1.6996865286613658E-4
Malta,Tomatoes,2.331204487800606E-6,2.7999403808645726E-4
Mali,Cucumbers and gherkins,1.0783216213637377E-5,2.9004499779205822E-5
Malta,Pumpkins squash and gourds,-9.10064853448089E-5,3.7591122853342356E-4
Belarus,Rapeseed,1.449365562023613E-4,3.303721238587513E-4
Australia,Canary seed,-3.3215049250701424E-5,1.2954935775539417E-4
Egypt,Sweet potatoes,2.9882922937810107E-5,2.615397958471877E-4
Russian Federation,Buckwheat,-3.179807650896067E-5,9.508549068905597E-5
Israel,Lentils,4.059433200705611E-6,4.70489930583401E-4
Egypt,Roots and tubers nes,-1.9938320675695448E-6,5.631370607868191E-5
Turkey,Apples,3.6091893487980885E-5,8.918386920789758E-4
China,Sweet potatoes,7.123063454542365E-7,6.489038351759393E-5
China,Almonds with shell,7.844149881590213E-6,6.011012060383493E-5
