agricultrendsyieldheatmap.crop,agricultrendsyieldheatmap.roundprecipitation,agricultrendsyieldheatmap.roundtemperature,agricultrendsyieldheatmap.yieldsum,agricultrendsyieldheatmap.yieldrecordnum,agricultrendsyieldheatmap.yieldavg
Buckwheat,70,22,26571.0,3,8857.0
Tomatoes,90,15,543256.0,1,543256.0
Quinces,110,6,1053000.0,1,1053000.0
Oilseeds nes,90,25,5057.0,1,5057.0
Karite nuts sheanuts,10,28,25758.0,1,25758.0
Sugar cane,200,21,961364.0,1,961364.0
Oilcrops Cake Equivalent,340,23,2633.0,1,2633.0
Vegetables leguminous nes,30,9,71429.0,1,71429.0
Sunflower seed,210,24,13333.0,1,13333.0
Onions shallots green,100,10,233444.0,1,233444.0
Fruit fresh nes,70,9,20000.0,1,20000.0
Tea,250,23,8998.0,1,8998.0
Chillies and peppers green,140,20,99668.0,1,99668.0
Potatoes,10,2,99887.0,1,99887.0
Coconuts,70,26,16842.0,1,16842.0
Roots and Tubers Total,210,28,42857.0,1,42857.0
Onions dry,50,18,165975.0,1,165975.0
Chick peas,0,20,40090.0,2,20045.0
Apricots,20,13,1035150.0,15,69010.0
Oilcrops Cake Equivalent,50,7,930849.0,77,12088.948051948051
Manila fibre abaca,140,22,36551.0,3,12183.666666666666
Cereals Total,140,22,128129.0,6,21354.833333333332
Papayas,30,20,166496.0,4,41624.0
Chillies and peppers green,80,12,2192616.0,14,156615.42857142858
Pigeon peas,60,22,18910.0,3,6303.333333333333
Pepper piper spp.,30,4,267897.0,3,89299.0
Oilcrops Cake Equivalent,10,24,93633.0,27,3467.8888888888887
Castor oil seed,210,24,18923.0,3,6307.666666666667
Cassava,100,25,2705775.0,45,60128.333333333336
Mangoes mangosteens guavas,30,23,7816550.0,26,300636.53846153844
Melonseed,50,15,248384.0,14,17741.714285714286
Soybeans,50,15,157249.0,8,19656.125
Olives,20,18,634162.0,47,13492.808510638299
Cereals Rice Milled Eqv,10,-1,136016.0,16,8501.0
Beans green,180,25,935244.0,18,51958.0
Rye,10,11,63807.0,4,15951.75
Cassava,40,6,3685730.0,27,136508.5185185185
Coffee green,40,6,177927.0,28,6354.535714285715
Fibre Crops Primary,150,11,271598.0,10,27159.8
Cabbages and other brassicas,100,27,811572.0,7,115938.85714285714
Oilcrops,110,28,40987.0,1,40987.0
Cereals Rice Milled Eqv,30,-6,438828.0,19,23096.21052631579
Sugar beet,30,-6,6556859.0,19,345097.84210526315
Beans green,30,18,2973955.0,37,80377.16216216216
Oilcrops Oil Equivalent,100,6,73800.0,10,7380.0
Hops,100,6,130362.0,10,13036.2
Spices nes,120,27,619509.0,19,32605.736842105263
Broad beans horse beans dry,10,18,486375.0,33,14738.636363636364
Cashew nuts with shell,130,22,24175.0,8,3021.875
Garlic,40,15,966258.0,13,74327.53846153847
Carrots and turnips,100,26,978521.0,16,61157.5625
Pulses Total,40,12,115417.0,12,9618.083333333334
Watermelons,220,25,2987946.0,19,157260.31578947368
Oilcrops Cake Equivalent,40,19,53562.0,8,6695.25
Vegetables fresh nes,110,18,996773.0,12,83064.41666666667
Nuts nes,0,23,483029.0,13,37156.07692307692
Flax fibre and tow,40,15,5600.0,1,5600.0
Pears,60,13,1757893.0,9,195321.44444444444
Tea,120,25,302881.0,14,21634.35714285714
Beans dry,70,10,723818.0,32,22619.3125
Cocoa beans,60,20,43434.0,8,5429.25
Cashew nuts with shell,20,29,122405.0,9,13600.555555555555
Millet,70,22,150918.0,23,6561.652173913043
Sunflower seed,60,16,58751.0,6,9791.833333333334
Cereals Rice Milled Eqv,70,11,1100192.0,25,44007.68
Broad beans horse beans dry,190,24,71816.0,3,23938.666666666668
Barley,10,21,228374.0,25,9134.96
Oilcrops,10,21,518800.0,26,19953.846153846152
Papayas,230,26,2952332.0,12,246027.66666666666
Beans green,110,10,217322.0,3,72440.66666666667
Oilcrops Cake Equivalent,80,26,119242.0,21,5678.190476190476
Soybeans,120,22,109947.0,11,9995.181818181818
Oilcrops Cake Equivalent,90,21,115888.0,26,4457.2307692307695
Rice paddy,90,21,430920.0,25,17236.8
Cassava,20,27,3372299.0,39,86469.20512820513
Fruit citrus nes,30,11,667850.0,13,51373.07692307692
Onions shallots green,170,25,1555438.0,12,129619.83333333333
Tobacco unmanufactured,240,25,282885.0,23,12299.347826086956
Cereals Rice Milled Eqv,240,25,574610.0,36,15961.388888888889
Oilcrops,90,18,112047.0,12,9337.25
Pineapples,60,19,859786.0,4,214946.5
Groundnuts with shell,60,19,64834.0,5,12966.8
Fruit fresh nes,80,19,162621.0,3,54207.0
Spinach,170,25,1174610.0,10,117461.0
Vegetables leguminous nes,100,7,418977.0,6,69829.5
Peas dry,220,25,78228.0,11,7111.636363636364
Sugar cane,110,20,1.1656759E7,12,971396.5833333334
Vegetables Primary,40,8,8471461.0,42,201701.45238095237
Fruit fresh nes,50,20,1099586.0,18,61088.11111111111
Oilcrops Cake Equivalent,20,1,11025.0,2,5512.5
Peas dry,0,21,564043.0,32,17626.34375
Flax fibre and tow,30,8,15780.0,3,5260.0
Soybeans,120,17,99441.0,6,16573.5
Treenuts Total,220,26,110972.0,10,11097.2
Fruit stone nes,130,25,388279.0,8,48534.875
Peaches and nectarines,50,13,1378534.0,15,91902.26666666666
Linseed,80,23,29880.0,11,2716.3636363636365
Vegetables Primary,70,2,5129146.0,8,641143.25
Onions dry,10,0,677313.0,10,67731.3
Cereals nes,70,28,11025.0,4,2756.25
Peas dry,60,11,558503.0,15,37233.53333333333
Quinces,110,17,263492.0,2,131746.0
Sugar beet,110,17,1822359.0,6,303726.5
Castor oil seed,200,24,28970.0,5,5794.0
Hempseed,80,10,34564.0,4,8641.0
Pulses Total,80,10,548998.0,23,23869.478260869564
Olives,160,25,73394.0,5,14678.8
Figs,70,16,74688.0,3,24896.0
Cucumbers and gherkins,150,21,159284.0,2,79642.0
Sisal,40,17,90704.0,10,9070.4
Cassava,290,25,335263.0,3,111754.33333333333
Onions dry,140,6,316171.0,1,316171.0
Fruit Primary,160,11,596375.0,7,85196.42857142857
Onions shallots green,150,6,704820.0,2,352410.0
Citrus Fruit Total,40,8,683779.0,4,170944.75
Sorghum,40,4,73365.0,4,18341.25
Chillies and peppers green,50,23,113042.0,7,16148.857142857143
Oranges,60,12,2133601.0,14,152400.07142857142
Currants,140,11,170267.0,5,34053.4
Beans green,90,9,1096319.0,15,73087.93333333333
Chillies and peppers green,110,22,174153.0,4,43538.25
Lentils,160,22,52207.0,13,4015.923076923077
Strawberries,80,21,66384.0,2,33192.0
Grapefruit inc. pomelos,140,24,3076010.0,26,118308.07692307692
Tomatoes,250,26,1452635.0,10,145263.5
Raspberries,40,5,28472.0,2,14236.0
Cauliflowers and broccoli,30,19,5609009.0,29,193414.10344827586
Apples,50,9,5386189.0,36,149616.36111111112
Oranges,310,24,63035.0,1,63035.0
Onions dry,40,8,8212244.0,42,195529.61904761905
Spices nes,130,27,384659.0,9,42739.88888888889
Oilcrops Oil Equivalent,10,16,26242.0,15,1749.4666666666667
Cabbages and other brassicas,0,16,236364.0,2,118182.0
Lentils,30,15,49118.0,5,9823.6
Cereals Rice Milled Eqv,290,21,12857.0,1,12857.0
Fibre Crops Primary,20,21,71180.0,7,10168.57142857143
Tobacco unmanufactured,80,13,65635.0,4,16408.75
Asparagus,190,24,163695.0,4,40923.75
Treenuts Total,60,19,1250.0,1,1250.0
Okra,60,19,159341.0,1,159341.0
Olives,40,16,172362.0,9,19151.333333333332
Oil palm fruit,60,26,100000.0,1,100000.0
Tea,110,19,90315.0,9,10035.0
Treenuts Total,50,25,57530.0,6,9588.333333333334
Barley,160,12,112874.0,7,16124.857142857143
Chillies and peppers green,160,12,585069.0,7,83581.28571428571
Sweet potatoes,330,26,56429.0,1,56429.0
Papayas,10,28,200000.0,1,200000.0
Fruit Primary,40,24,1267050.0,12,105587.5
Peaches and nectarines,10,13,938375.0,14,67026.78571428571
Oats,90,4,11512.0,1,11512.0
Grapefruit inc. pomelos,90,21,492517.0,4,123129.25
Maize,140,7,96519.0,1,96519.0
Lettuce and chicory,280,25,117058.0,3,39019.333333333336
Grapes,10,7,192157.0,4,48039.25
Pulses Total,180,27,28868.0,4,7217.0
Chestnut,80,7,60693.0,4,15173.25
Cabbages and other brassicas,210,27,381200.0,2,190600.0
Fruit fresh nes,150,7,90000.0,1,90000.0
Plums and sloes,70,5,27330.0,2,13665.0
Grapefruit inc. pomelos,10,27,545000.0,6,90833.33333333333
Peaches and nectarines,90,9,381868.0,5,76373.6
Raspberries,140,9,230705.0,4,57676.25
Pulses nes,100,10,81529.0,3,27176.333333333332
Coffee green,100,11,2388.0,1,2388.0
Tomatoes,120,19,1248723.0,7,178389.0
Lentils,100,19,12557.0,3,4185.666666666667
Bananas,290,27,114833.0,2,57416.5
Mustard seed,160,11,24328.0,5,4865.6
Peas dry,20,10,11682.0,1,11682.0
Lentils,30,22,12443.0,3,4147.666666666667
Fruit Primary,20,3,105956.0,2,52978.0
Oats,20,3,47409.0,2,23704.5
Spices nes,170,12,120828.0,2,60414.0
Currants,30,12,313462.0,7,44780.28571428572
Apples,130,21,243745.0,3,81248.33333333333
Lentils,70,21,14759.0,2,7379.5
Maize,50,19,5324.0,1,5324.0
Coffee green,70,26,3993.0,1,3993.0
Coffee green,280,23,6655.0,2,3327.5
Buckwheat,120,10,32513.0,3,10837.666666666666
Lettuce and chicory,70,21,589586.0,7,84226.57142857143
Oats,250,25,25960.0,2,12980.0
Sugar cane,100,28,254386.0,1,254386.0
Vegetables fresh nes,100,4,219005.0,1,219005.0
Ginger,110,20,67742.0,1,67742.0
Beans green,70,2,80543.0,1,80543.0
Millet,70,29,16301.0,2,8150.5
Beans green,50,1,287941.0,6,47990.166666666664
Oilcrops Oil Equivalent,130,18,10338.0,3,3446.0
Bambara beans,100,25,6300.0,1,6300.0
Yams,70,21,72000.0,1,72000.0
Buckwheat,90,5,11495.0,1,11495.0
Chillies and peppers green,50,22,12982.0,1,12982.0
Walnuts with shell,140,24,57796.0,3,19265.333333333332
Tomatoes,20,12,303695.0,2,151847.5
Nutmeg mace and cardamoms,120,12,12918.0,3,4306.0
Citrus Fruit Total,180,27,60247.0,1,60247.0
Chicory roots,100,11,188037.0,1,188037.0
Tea,210,22,28290.0,2,14145.0
Safflower seed,70,21,14833.0,1,14833.0
Beans green,190,21,14844.0,1,14844.0
Agave fibres nes,170,22,26089.0,2,13044.5
Yams,240,23,150000.0,1,150000.0
Oilseeds nes,60,5,16230.0,1,16230.0
Peas green,190,22,33333.0,1,33333.0
Onions dry,60,29,203659.0,1,203659.0
Broad beans horse beans dry,210,22,10088.0,1,10088.0
Tangerines mandarins clementines satsumas,290,24,95538.0,1,95538.0
Tomatoes,220,22,63529.0,1,63529.0
Apples,30,-1,148301.0,1,148301.0
Carrots and turnips,110,4,548887.0,1,548887.0
Onions shallots green,110,4,355649.0,1,355649.0
Millet,170,26,10041.0,1,10041.0
Oilcrops Oil Equivalent,160,18,5324.0,1,5324.0
Coffee green,370,23,8810.0,1,8810.0
Cucumbers and gherkins,50,7,1.7274471E7,77,224343.77922077922
Cucumbers and gherkins,40,6,8316169.0,40,207904.225
Mangoes mangosteens guavas,110,26,915382.0,31,29528.451612903227
Cucumbers and gherkins,20,19,1.2183952E7,58,210068.1379310345
Carobs,20,19,408626.0,29,14090.551724137931
Groundnuts with shell,60,12,249441.0,11,22676.454545454544
Fruit citrus nes,60,12,1296870.0,10,129687.0
Cassava,160,26,4941512.0,45,109811.37777777777
Grapefruit inc. pomelos,60,16,1907983.0,7,272569.0
Maize green,0,28,974520.0,8,121815.0
Berries nes,40,11,1494618.0,25,59784.72
Oilseeds nes,110,25,65056.0,13,5004.307692307692
Lentils,0,22,589864.0,59,9997.694915254237
Sesame seed,0,22,357920.0,32,11185.0
Millet,20,27,131168.0,28,4684.571428571428
Carrots and turnips,240,24,2337442.0,9,259715.77777777778
Chillies and peppers green,200,24,3231918.0,21,153900.85714285713
Cereals nes,70,6,87859.0,4,21964.75
Maize,70,10,2445237.0,34,71918.73529411765
Carrots and turnips,110,20,1566924.0,11,142447.63636363635
Spices nes,260,25,350959.0,24,14623.291666666666
Anise badian fennel coriander,10,20,100037.0,13,7695.153846153846
Citrus Fruit Total,40,22,454176.0,4,113544.0
Oats,60,11,661931.0,22,30087.772727272728
Vetches,60,7,131817.0,9,14646.333333333334
Cereals Total,60,9,1745603.0,33,52897.06060606061
Cereals Rice Milled Eqv,100,24,456077.0,32,14252.40625
Avocados,50,23,514825.0,7,73546.42857142857
Grapes,50,23,347372.0,8,43421.5
Sisal,40,24,134425.0,12,11202.083333333334
Pumpkins squash and gourds,130,12,1397255.0,7,199607.85714285713
Sesame seed,20,29,29696.0,9,3299.5555555555557
Almonds with shell,90,13,50000.0,5,10000.0
Vegetables Primary,0,26,1.6802079E7,77,218208.81818181818
Avocados,120,19,708389.0,8,88548.625
Roots and Tubers Total,20,18,8929888.0,50,178597.76
Fibre Crops Primary,20,18,280413.0,35,8011.8
Onions shallots green,20,18,5692989.0,38,149815.5
Cabbages and other brassicas,30,18,1.6923618E7,50,338472.36
Cereals Rice Milled Eqv,10,21,258096.0,26,9926.76923076923
Sweet potatoes,150,25,5568829.0,78,71395.2435897436
Peas green,160,25,74315.0,2,37157.5
Lupins,40,7,222900.0,18,12383.333333333334
Grapefruit inc. pomelos,120,26,1474366.0,22,67016.63636363637
Vegetables Primary,10,19,4526509.0,29,156086.5172413793
Apricots,80,12,829319.0,14,59237.07142857143
Tobacco unmanufactured,80,12,255511.0,15,17034.066666666666
Berries nes,120,6,482009.0,7,68858.42857142857
Bananas,230,24,7347098.0,35,209917.08571428573
Sunflower seed,10,18,346426.0,30,11547.533333333333
Oilcrops,10,18,573843.0,37,15509.27027027027
Fibre crops nes,130,10,443993.0,19,23368.052631578947
Fruit Primary,130,10,3819699.0,25,152787.96
Castor oil seed,20,19,193451.0,25,7738.04
Millet,60,15,91209.0,6,15201.5
Vegetables leguminous nes,290,26,149613.0,2,74806.5
Cereals Total,250,24,189536.0,11,17230.545454545456
Pulses nes,210,23,131428.0,2,65714.0
Wheat,130,19,87600.0,8,10950.0
Peas dry,50,2,352295.0,16,22018.4375
Cassava,90,20,3282124.0,33,99458.30303030302
Vegetables fresh nes,80,26,1129937.0,20,56496.85
Eggplants aubergines,140,24,1207492.0,10,120749.2
Carrots and turnips,70,9,4405214.0,11,400474.0
Taro cocoyam,40,27,214971.0,5,42994.2
Sisal,70,24,42328.0,11,3848.0
Avocados,130,24,2807258.0,43,65285.06976744186
Taro cocoyam,20,26,759137.0,24,31630.708333333332
Sugar beet,130,5,2541560.0,5,508312.0
Castor oil seed,40,6,201840.0,27,7475.555555555556
Pepper piper spp.,50,20,111980.0,8,13997.5
Peas green,90,10,380235.0,8,47529.375
Oilcrops Cake Equivalent,280,25,133745.0,15,8916.333333333334
Anise badian fennel coriander,30,19,115729.0,8,14466.125
Quinces,0,23,728338.0,17,42843.41176470588
Pyrethrum dried,120,11,29091.0,3,9697.0
Vegetables Primary,10,14,720633.0,6,120105.5
Onions dry,10,14,832661.0,6,138776.83333333334
Beans dry,120,22,118791.0,15,7919.4
Pineapples,270,26,2109020.0,9,234335.55555555556
Pulses Total,240,26,124463.0,11,11314.818181818182
Broad beans horse beans dry,130,12,42052.0,4,10513.0
Plantains and others,140,22,488798.0,5,97759.6
Tobacco unmanufactured,50,22,78718.0,6,13119.666666666666
Flax fibre and tow,50,10,372345.0,21,17730.714285714286
Lettuce and chicory,50,10,6255331.0,32,195479.09375
Apples,80,8,1340114.0,8,167514.25
Pumpkins squash and gourds,180,22,225332.0,2,112666.0
Fruit fresh nes,30,22,1626681.0,35,46476.6
Vegetables fresh nes,30,22,4256704.0,39,109146.2564102564
Garlic,140,24,1220570.0,22,55480.454545454544
Barley,70,2,38129.0,1,38129.0
Tomatoes,110,9,3.7613709E7,13,2893362.230769231
Groundnuts with shell,40,10,352212.0,23,15313.565217391304
Roots and tubers nes,170,28,239125.0,5,47825.0
Coconuts,150,27,1218896.0,26,46880.61538461538
Beans green,110,19,186690.0,7,26670.0
Oilcrops Oil Equivalent,110,19,25640.0,10,2564.0
Oilcrops,80,7,95249.0,6,15874.833333333334
Soybeans,40,21,397586.0,25,15903.44
Cabbages and other brassicas,120,12,2792753.0,6,465458.8333333333
Cabbages and other brassicas,100,12,2297739.0,5,459547.8
Vegetables Primary,30,29,207548.0,2,103774.0
Watermelons,20,20,7365728.0,44,167402.9090909091
Watermelons,170,26,1555788.0,10,155578.8
Tobacco unmanufactured,30,3,174826.0,8,21853.25
Nuts nes,120,20,113446.0,7,16206.57142857143
Cucumbers and gherkins,120,20,885020.0,8,110627.5
Fibre Crops Primary,70,15,18834.0,2,9417.0
Cereals Total,50,1,200540.0,6,33423.333333333336
Tobacco unmanufactured,50,1,16471.0,1,16471.0
Fruit tropical fresh nes,100,19,709887.0,7,101412.42857142857
Roots and tubers nes,10,22,147584.0,2,73792.0
Citrus Fruit Total,150,21,376417.0,4,94104.25
Taro cocoyam,160,28,493761.0,7,70537.28571428571
Cereals Total,90,6,821238.0,19,43223.05263157895
Vegetables fresh nes,20,6,1274433.0,6,212405.5
Coarse Grain Total,20,6,77086.0,6,12847.666666666666
Soybeans,20,6,100812.0,6,16802.0
Leeks other alliaceous vegetables,90,1,886471.0,4,221617.75
Plums and sloes,60,23,60000.0,1,60000.0
Tobacco unmanufactured,80,17,25709.0,2,12854.5
Grapes,90,11,593113.0,9,65901.44444444444
Cherries sour,100,9,276674.0,6,46112.333333333336
Plums and sloes,110,18,321887.0,4,80471.75
Ginger,130,23,732761.0,7,104680.14285714286
Leeks other alliaceous vegetables,190,24,100005.0,1,100005.0
Oilcrops Oil Equivalent,40,16,39533.0,9,4392.555555555556
Blueberries,50,1,23110.0,3,7703.333333333333
Watermelons,40,19,2581649.0,7,368807.0
Vegetables Primary,90,0,252476.0,1,252476.0
Berries nes,20,1,33874.0,2,16937.0
Sugar beet,20,1,346400.0,2,173200.0
Onions shallots green,70,28,989120.0,6,164853.33333333334
Spices nes,250,24,350457.0,4,87614.25
Groundnuts with shell,280,26,53894.0,2,26947.0
Maize,90,18,196126.0,12,16343.833333333334
Rice paddy,170,22,485619.0,18,26978.833333333332
Olives,10,18,551096.0,37,14894.486486486487
Bastfibres other,80,26,22236.0,3,7412.0
Groundnuts with shell,10,17,393557.0,26,15136.807692307691
Potatoes,210,25,2479963.0,21,118093.47619047618
Cocoa beans,120,23,105585.0,23,4590.652173913043
Kola nuts,90,26,153167.0,16,9572.9375
Broad beans horse beans dry,70,11,452544.0,15,30169.6
Broad beans horse beans dry,140,6,74896.0,2,37448.0
Linseed,30,25,10000.0,1,10000.0
Vegetables fresh nes,80,5,1791453.0,10,179145.3
Peaches and nectarines,180,25,221220.0,2,110610.0
Manila fibre abaca,260,25,92541.0,8,11567.625
Roots and tubers nes,40,25,65000.0,1,65000.0
Cereals Rice Milled Eqv,180,27,47019.0,4,11754.75
Oilcrops Oil Equivalent,120,10,30412.0,6,5068.666666666667
Cereals Total,120,10,287866.0,6,47977.666666666664
Pumpkins squash and gourds,120,10,777757.0,5,155551.4
Sugar cane,270,23,940999.0,2,470499.5
Groundnuts with shell,200,23,112099.0,8,14012.375
Cherries,100,11,46560.0,1,46560.0
Carobs,80,16,62621.0,3,20873.666666666668
Oilcrops,10,0,36143.0,3,12047.666666666666
Chillies and peppers dry,180,24,27013.0,3,9004.333333333334
Anise badian fennel coriander,60,15,38620.0,4,9655.0
Hops,100,7,100544.0,7,14363.42857142857
Pumpkins squash and gourds,80,25,87099.0,4,21774.75
Garlic,80,25,792750.0,4,198187.5
Chillies and peppers green,70,28,200346.0,8,25043.25
Chillies and peppers green,190,21,116557.0,1,116557.0
Cocoa beans,190,21,3144.0,1,3144.0
Sugar cane,360,22,690000.0,3,230000.0
Ginger,150,24,373271.0,3,124423.66666666667
Quinces,130,7,486842.0,1,486842.0
Maize,130,7,87490.0,1,87490.0
Cinnamon cannella,170,24,11608.0,3,3869.3333333333335
Spices nes,10,28,97526.0,7,13932.285714285714
Cucumbers and gherkins,40,20,733015.0,2,366507.5
Mangoes mangosteens guavas,260,23,27925.0,3,9308.333333333334
Cherries,210,25,98024.0,2,49012.0
Berries nes,80,1,43195.0,2,21597.5
Yams,280,23,199355.0,2,99677.5
Tung nuts,130,23,27514.0,3,9171.333333333334
Oilseeds nes,290,27,5000.0,1,5000.0
Sweet potatoes,40,8,337051.0,4,84262.75
Watermelons,20,11,54308.0,1,54308.0
Agave fibres nes,60,20,20056.0,2,10028.0
Plums and sloes,160,18,53878.0,1,53878.0
Cereals Total,20,23,5940.0,3,1980.0
Rye,140,22,15145.0,3,5048.333333333333
Potatoes,200,22,241534.0,2,120767.0
Leeks other alliaceous vegetables,220,25,176717.0,3,58905.666666666664
Lettuce and chicory,140,4,220000.0,1,220000.0
Tangerines mandarins clementines satsumas,230,24,548556.0,4,137139.0
Cabbages and other brassicas,140,13,36971.0,1,36971.0
Barley,120,9,75755.0,2,37877.5
Okra,60,25,273200.0,4,68300.0
Ginger,60,25,193069.0,4,48267.25
Cabbages and other brassicas,10,11,984960.0,4,246240.0
Beans dry,160,28,11914.0,1,11914.0
Pistachios,40,22,5410.0,1,5410.0
Fruit fresh nes,80,4,72500.0,1,72500.0
Fibre Crops Primary,80,4,2364.0,1,2364.0
Oilcrops Cake Equivalent,160,10,22035.0,2,11017.5
Pumpkins squash and gourds,160,21,200000.0,4,50000.0
Hazelnuts with shell,20,-1,18998.0,2,9499.0
Cereals nes,70,22,28323.0,3,9441.0
Cherries sour,80,14,34933.0,1,34933.0
Oilcrops Oil Equivalent,100,2,6171.0,1,6171.0
String beans,160,11,148335.0,2,74167.5
Groundnuts with shell,70,15,14468.0,1,14468.0
Plums and sloes,110,13,251331.0,3,83777.0
Pulses nes,50,17,120000.0,1,120000.0
Agave fibres nes,250,23,9286.0,1,9286.0
Coconuts,200,21,62338.0,1,62338.0
Chillies and peppers green,210,27,20000.0,1,20000.0
Sorghum,210,27,10000.0,1,10000.0
Vegetables Primary,340,23,85361.0,1,85361.0
Rice paddy,70,26,29957.0,2,14978.5
Kiwi fruit,10,22,149724.0,1,149724.0
Tobacco unmanufactured,150,7,21532.0,1,21532.0
Bananas,100,11,152295.0,1,152295.0
Maize green,230,28,5078.0,1,5078.0
Manila fibre abaca,260,23,10000.0,1,10000.0
Millet,20,3,29167.0,2,14583.5
Soybeans,10,5,8437.0,1,8437.0
Cereals nes,150,9,25000.0,1,25000.0
Sugar beet,220,24,225824.0,1,225824.0
Coffee green,230,27,2857.0,1,2857.0
Pulses Total,20,13,151325.0,15,10088.333333333334
Taro cocoyam,50,7,4597822.0,30,153260.73333333334
Walnuts with shell,50,7,1122615.0,41,27380.853658536584
Rapeseed,60,9,953572.0,32,29799.125
Spinach,60,9,4931025.0,27,182630.55555555556
Fruit Primary,0,22,8577315.0,84,102110.89285714286
Maize,120,27,658842.0,28,23530.071428571428
Vetches,80,12,180574.0,12,15047.833333333334
Cereals Rice Milled Eqv,50,24,245867.0,17,14462.764705882353
Chillies and peppers green,50,15,3344332.0,27,123864.14814814815
Fruit citrus nes,20,17,1912118.0,18,106228.77777777778
Sisal,160,25,178306.0,20,8915.3
Fruit fresh nes,210,24,1646655.0,21,78412.14285714286
Berries nes,190,25,171767.0,4,42941.75
Cereals Total,90,27,671673.0,57,11783.736842105263
Oranges,150,26,2437567.0,33,73865.66666666667
Avocados,180,25,805330.0,13,61948.46153846154
Vegetables Primary,110,25,4530387.0,68,66623.33823529411
Tobacco unmanufactured,80,5,151898.0,10,15189.8
Vegetables Primary,140,25,7020807.0,84,83581.03571428571
Eggplants aubergines,190,24,1261931.0,13,97071.61538461539
Pulses nes,220,23,331812.0,8,41476.5
Plums and sloes,120,20,506680.0,8,63335.0
Maize,160,28,204770.0,9,22752.222222222223
Pulses Total,50,11,394702.0,24,16445.916666666668
Cherries sour,40,14,1222889.0,19,64362.57894736842
Strawberries,40,2,821251.0,17,48308.882352941175
Seed cotton,160,28,13302.0,1,13302.0
Olives,30,16,76890.0,7,10984.285714285714
Almonds with shell,10,18,484975.0,33,14696.212121212122
Oilseeds nes,10,18,399488.0,19,21025.684210526317
Coconuts,60,21,1255783.0,19,66093.84210526316
Castor oil seed,60,21,82909.0,20,4145.45
Oilcrops Cake Equivalent,40,20,22764.0,5,4552.8
Mangoes mangosteens guavas,130,27,1711571.0,35,48902.02857142857
Coarse Grain Total,190,26,394867.0,24,16452.791666666668
Tomatoes,160,26,2597235.0,28,92758.39285714286
Lemons and limes,260,25,1071069.0,14,76504.92857142857
Tomatoes,70,6,1839980.0,12,153331.66666666666
Pulses nes,40,15,162753.0,13,12519.461538461539
Fruit Primary,100,26,2558119.0,42,60907.59523809524
Garlic,90,11,299430.0,5,59886.0
Treenuts Total,220,25,149927.0,14,10709.07142857143
Oilseeds nes,220,25,96794.0,11,8799.454545454546
Oil palm fruit,210,25,2342158.0,20,117107.9
Maize,80,4,28929.0,1,28929.0
Sorghum,80,4,11852.0,1,11852.0
Grapefruit inc. pomelos,170,25,2522190.0,27,93414.44444444444
Sorghum,110,26,222543.0,30,7418.1
Blueberries,50,6,990785.0,29,34165.0
Mangoes mangosteens guavas,80,23,3434110.0,42,81764.52380952382
Fruit fresh nes,120,23,1679410.0,26,64592.692307692305
Cashew nuts with shell,120,25,59818.0,10,5981.8
Vegetables fresh nes,130,10,6036437.0,25,241457.48
Cabbages and other brassicas,140,10,6578005.0,20,328900.25
Vegetables fresh nes,250,24,1237078.0,12,103089.83333333333
Plantains and others,140,24,2319270.0,30,77309.0
Cocoa beans,170,23,50439.0,12,4203.25
Cereals Total,170,23,380549.0,17,22385.235294117647
Onions dry,40,3,1186325.0,6,197720.83333333334
Beans green,140,21,67884.0,8,8485.5
Melons other inc.cantaloupes,60,10,5271454.0,22,239611.54545454544
Cereals Total,60,10,1639463.0,31,52885.903225806454
Coconuts,100,22,256412.0,12,21367.666666666668
Walnuts with shell,40,9,1315442.0,27,48720.07407407407
Lupins,40,10,102210.0,12,8517.5
Apricots,50,16,549008.0,7,78429.71428571429
Tomatoes,120,22,2020025.0,21,96191.66666666667
Cereals Rice Milled Eqv,250,25,1270140.0,62,20486.129032258064
Beans dry,90,28,37829.0,6,6304.833333333333
Safflower seed,30,-8,18982.0,5,3796.4
Broad beans horse beans dry,120,25,110488.0,9,12276.444444444445
Rye,130,22,9500.0,2,4750.0
Sesame seed,20,20,245145.0,24,10214.375
Cucumbers and gherkins,30,17,3461914.0,21,164853.04761904763
Castor oil seed,20,16,60635.0,9,6737.222222222223
Coarse Grain Total,70,18,34336.0,1,34336.0
Rice paddy,70,18,78989.0,1,78989.0
Chillies and peppers dry,140,24,382020.0,19,20106.315789473683
Fruit citrus nes,160,25,626941.0,14,44781.5
Citrus Fruit Total,50,6,5695034.0,27,210927.1851851852
Wheat,110,25,40377.0,3,13459.0
Cereals Rice Milled Eqv,130,23,659689.0,33,19990.575757575756
Cereals Rice Milled Eqv,20,26,235935.0,44,5362.159090909091
Oranges,30,17,3519819.0,19,185253.63157894736
Roots and Tubers Total,90,25,926075.0,19,48740.78947368421
Vetches,40,19,121321.0,8,15165.125
Watermelons,20,1,202302.0,2,101151.0
Roots and tubers nes,190,27,703462.0,9,78162.44444444444
Olives,120,17,125475.0,5,25095.0
Potatoes,110,8,1748599.0,5,349719.8
Anise badian fennel coriander,60,24,47789.0,8,5973.625
Groundnuts with shell,70,13,25000.0,1,25000.0
Coarse Grain Total,90,6,829397.0,19,43652.47368421053
Fruit fresh nes,50,13,1180026.0,21,56191.71428571428
Mangoes mangosteens guavas,140,19,1075950.0,8,134493.75
Figs,120,8,40714.0,1,40714.0
